,name,handedness,height,weight,avg,HR,height_group,weight_group,avg_group
712,Gary Christenson,L,77,200,0.0,0,"(76, 77]","(195, 200]","[0.0, 0.02)"
713,Jim Wright,R,77,205,0.0,0,"(76, 77]","(200, 205]","[0.0, 0.02)"
714,Jim Wright,R,73,165,0.0,0,"(72, 73]","(160, 165]","[0.0, 0.02)"
715,Wallace Johnson,B,72,173,0.255,5,"(71, 72]","(170, 175]","[0.24, 0.26)"
716,Mike Kinnunen,L,73,185,0.0,0,"(72, 73]","(180, 185]","[0.0, 0.02)"
717,Eddie Leon,R,72,170,0.23600000000000002,24,"(71, 72]","(165, 170]","[0.22, 0.24)"
718,Dave Rajsich,L,77,175,0.0,0,"(76, 77]","(170, 175]","[0.0, 0.02)"
719,Jim Wohlford,R,71,175,0.26,21,"(70, 71]","(170, 175]","[0.26, 0.28)"
720,J.R. Richard,R,80,222,0.168,10,"(79, 80]","(220, 225]","[0.16, 0.18)"
721,Bill Voss,L,74,160,0.22699999999999998,19,"(73, 74]","(155, 160]","[0.22, 0.24)"
722,Keith Moreland,R,72,190,0.27899999999999997,121,"(71, 72]","(185, 190]","[0.26, 0.28)"
723,Ramon Pena,R,70,155,0.0,0,"(69, 70]","(150, 155]","[0.0, 0.02)"
724,Alex Johnson,R,72,205,0.28800000000000003,78,"(71, 72]","(200, 205]","[0.28, 0.3)"
725,Wayne Krenchicki,L,73,180,0.266,15,"(72, 73]","(175, 180]","[0.26, 0.28)"
726,Chico Escarrega,R,71,185,0.0,0,"(70, 71]","(180, 185]","[0.0, 0.02)"
727,Dave Rosello,R,71,160,0.23600000000000002,10,"(70, 71]","(155, 160]","[0.22, 0.24)"
728,Cardell Camper,R,75,208,0.0,0,"(74, 75]","(205, 210]","[0.0, 0.02)"
729,Paul Schaal,R,71,165,0.244,57,"(70, 71]","(160, 165]","[0.24, 0.26)"
730,Tito Landrum,R,71,175,0.249,13,"(70, 71]","(170, 175]","[0.24, 0.26)"
731,Dave Edwards,R,72,170,0.237,14,"(71, 72]","(165, 170]","[0.22, 0.24)"
732,Mario Guerrero,R,70,155,0.257,7,"(69, 70]","(150, 155]","[0.24, 0.26)"
733,Tom Tresh,B,73,180,0.245,153,"(72, 73]","(175, 180]","[0.24, 0.26)"
734,Mike Overy,R,74,190,0.0,0,"(73, 74]","(185, 190]","[0.0, 0.02)"
735,Ron Roenicke,B,72,180,0.23800000000000002,17,"(71, 72]","(175, 180]","[0.22, 0.24)"
736,Doug Griffin,R,72,160,0.245,7,"(71, 72]","(155, 160]","[0.24, 0.26)"
737,Steve Blass,R,72,165,0.172,1,"(71, 72]","(160, 165]","[0.16, 0.18)"
738,Johnnie LeMaster,R,74,165,0.222,22,"(73, 74]","(160, 165]","[0.22, 0.24)"
739,Craig Chamberlain,R,73,190,0.0,0,"(72, 73]","(185, 190]","[0.0, 0.02)"
740,Nate Oliver,R,70,160,0.226,2,"(69, 70]","(155, 160]","[0.22, 0.24)"
741,Ray Sadecki,L,71,180,0.191,5,"(70, 71]","(175, 180]","[0.18, 0.2)"
742,Ken Rudolph,R,73,180,0.213,6,"(72, 73]","(175, 180]","[0.2, 0.22)"
743,Wayne Nordhagen,R,74,205,0.282,39,"(73, 74]","(200, 205]","[0.28, 0.3)"
744,Biff Pocoroba,B,70,175,0.257,21,"(69, 70]","(170, 175]","[0.24, 0.26)"
745,Len Matuszek,L,74,190,0.23399999999999999,30,"(73, 74]","(185, 190]","[0.22, 0.24)"
746,Frank Eufemia,R,71,185,0.0,0,"(70, 71]","(180, 185]","[0.0, 0.02)"
747,Joe Lefebvre,L,70,170,0.258,31,"(69, 70]","(165, 170]","[0.24, 0.26)"
748,Jim Maloney,L,74,190,0.201,7,"(73, 74]","(185, 190]","[0.2, 0.22)"
749,Andre Robertson,R,70,155,0.251,5,"(69, 70]","(150, 155]","[0.24, 0.26)"
750,Jerry Zimmerman,R,74,185,0.204,3,"(73, 74]","(180, 185]","[0.2, 0.22)"
751,Jack Lazorko,R,71,200,0.0,0,"(70, 71]","(195, 200]","[0.0, 0.02)"
752,Mike Paxton,R,71,190,0.0,0,"(70, 71]","(185, 190]","[0.0, 0.02)"
753,Chet Lemon,R,72,190,0.273,215,"(71, 72]","(185, 190]","[0.26, 0.28)"
754,Rickey Keeton,R,74,190,0.0,0,"(73, 74]","(185, 190]","[0.0, 0.02)"
755,Phil Mankowski,L,72,180,0.264,8,"(71, 72]","(175, 180]","[0.26, 0.28)"
756,Cleon Jones,R,72,185,0.281,93,"(71, 72]","(180, 185]","[0.28, 0.3)"
757,Joaquin Andujar,B,72,170,0.127,5,"(71, 72]","(165, 170]","[0.12, 0.14)"
758,Mike Lum,L,72,180,0.247,90,"(71, 72]","(175, 180]","[0.24, 0.26)"
759,Johnny Grubb,L,75,175,0.278,99,"(74, 75]","(170, 175]","[0.26, 0.28)"
760,Curt Motton,R,68,164,0.213,25,"(67, 68]","(160, 165]","[0.2, 0.22)"
761,Johnny Bench,R,73,197,0.267,389,"(72, 73]","(195, 200]","[0.26, 0.28)"
762,Dale Berra,R,72,180,0.23600000000000002,49,"(71, 72]","(175, 180]","[0.22, 0.24)"
763,Terry Felton,R,73,180,0.0,0,"(72, 73]","(175, 180]","[0.0, 0.02)"
764,Bob Meacham,B,73,175,0.23600000000000002,8,"(72, 73]","(170, 175]","[0.22, 0.24)"
765,Mark Clear,R,76,200,0.0,0,"(75, 76]","(195, 200]","[0.0, 0.02)"
766,Carl Warwick,R,70,170,0.248,31,"(69, 70]","(165, 170]","[0.24, 0.26)"
767,Sam Bowens,R,73,188,0.223,45,"(72, 73]","(185, 190]","[0.22, 0.24)"
768,George Wright,B,71,180,0.245,42,"(70, 71]","(175, 180]","[0.24, 0.26)"
769,Luis Aguayo,R,69,173,0.23600000000000002,37,"(68, 69]","(170, 175]","[0.22, 0.24)"
770,Hal Lanier,R,74,180,0.228,8,"(73, 74]","(175, 180]","[0.22, 0.24)"
771,Mike Pazik,L,74,195,0.0,0,"(73, 74]","(190, 195]","[0.0, 0.02)"
772,Len Randle,B,70,169,0.257,27,"(69, 70]","(165, 170]","[0.24, 0.26)"
773,Greg Pryor,R,72,180,0.25,14,"(71, 72]","(175, 180]","[0.24, 0.26)"
774,Jim Traber,L,72,194,0.22699999999999998,27,"(71, 72]","(190, 195]","[0.22, 0.24)"
775,Dave Nelson,R,70,160,0.244,20,"(69, 70]","(155, 160]","[0.24, 0.26)"
776,Lynn Jones,R,69,175,0.252,7,"(68, 69]","(170, 175]","[0.24, 0.26)"
777,Bryan Little,B,70,160,0.245,3,"(69, 70]","(155, 160]","[0.24, 0.26)"
778,Ken Suarez,R,69,175,0.22699999999999998,5,"(68, 69]","(170, 175]","[0.22, 0.24)"
779,Rick Peters,B,69,170,0.27699999999999997,2,"(68, 69]","(165, 170]","[0.26, 0.28)"
780,Ron Stone,L,74,185,0.24100000000000002,6,"(73, 74]","(180, 185]","[0.24, 0.26)"
781,Rich Barnes,R,76,186,0.0,0,"(75, 76]","(185, 190]","[0.0, 0.02)"
